Title,Occurence,Date,"Pay and Leave Holiday Date (if SAT, then FRI if SUN  then MON)",Month,Day,Year,WeekDay
Washington's Birthday,Third Monday in Feb,2/15/2077,2/15/2077,2,15,2077,2
Memorial Day,Last Monday in May,5/24/2077,5/24/2077,5,24,2077,2
Juneteenth National Independence Day,Annual,6/19/2077,6/18/2077,6,19,2077,7
Independence Day,Annual,7/4/2077,7/5/2077,7,4,2077,1
Labor Day,First Monday in Sept,9/6/2077,9/6/2077,9,6,2077,2
Columbus Day,Second Monday in Oct,10/11/2077,10/11/2077,10,11,2077,2
Veterans Day,Annual,11/11/2077,11/11/2077,11,11,2077,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/2077,11/25/2077,11,25,2077,5
Christmas Day,Annual,12/25/2077,12/24/2077,12,25,2077,7
New Year's Day,Year Start,1/1/2078,12/31/2077,1,1,2078,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/2078,1/17/2078,1,17,2078,2
Washington's Birthday,Third Monday in Feb,2/21/2078,2/21/2078,2,21,2078,2
Memorial Day,Last Monday in May,5/23/2078,5/23/2078,5,23,2078,2
Juneteenth National Independence Day,Annual,6/19/2078,6/20/2078,6,19,2078,1
Independence Day,Annual,7/4/2078,7/4/2078,7,4,2078,2
Labor Day,First Monday in Sept,9/5/2078,9/5/2078,9,5,2078,2
Columbus Day,Second Monday in Oct,10/10/2078,10/10/2078,10,10,2078,2
Veterans Day,Annual,11/11/2078,11/11/2078,11,11,2078,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/2078,11/24/2078,11,24,2078,5
Christmas Day,Annual,12/25/2078,12/26/2078,12,25,2078,1
New Year's Day,Year Start,1/1/2079,1/2/2079,1,1,2079,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/2079,1/16/2079,1,16,2079,2
Washington's Birthday,Third Monday in Feb,2/20/2079,2/20/2079,2,20,2079,2
Memorial Day,Last Monday in May,5/22/2079,5/22/2079,5,22,2079,2
Juneteenth National Independence Day,Annual,6/19/2079,6/19/2079,6,19,2079,2
Independence Day,Annual,7/4/2079,7/4/2079,7,4,2079,3
Labor Day,First Monday in Sept,9/4/2079,9/4/2079,9,4,2079,2
Columbus Day,Second Monday in Oct,10/9/2079,10/9/2079,10,9,2079,2
Veterans Day,Annual,11/11/2079,11/10/2079,11,11,2079,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/2079,11/23/2079,11,23,2079,5
Christmas Day,Annual,12/25/2079,12/25/2079,12,25,2079,2
New Year's Day,Year Start,1/1/2080,1/1/2080,1,1,2080,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/2080,1/15/2080,1,15,2080,2
Washington's Birthday,Third Monday in Feb,2/19/2080,2/19/2080,2,19,2080,2
Memorial Day,Last Monday in May,5/27/2080,5/27/2080,5,27,2080,2
Juneteenth National Independence Day,Annual,6/19/2080,6/19/2080,6,19,2080,4
Independence Day,Annual,7/4/2080,7/4/2080,7,4,2080,5
Labor Day,First Monday in Sept,9/2/2080,9/2/2080,9,2,2080,2
Columbus Day,Second Monday in Oct,10/14/2080,10/14/2080,10,14,2080,2
Veterans Day,Annual,11/11/2080,11/11/2080,11,11,2080,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/2080,11/28/2080,11,28,2080,5
Christmas Day,Annual,12/25/2080,12/25/2080,12,25,2080,4
New Year's Day,Year Start,1/1/2081,1/1/2081,1,1,2081,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/2081,1/20/2081,1,20,2081,2
Washington's Birthday,Third Monday in Feb,2/17/2081,2/17/2081,2,17,2081,2
Memorial Day,Last Monday in May,5/26/2081,5/26/2081,5,26,2081,2
Juneteenth National Independence Day,Annual,6/19/2081,6/19/2081,6,19,2081,5
Independence Day,Annual,7/4/2081,7/4/2081,7,4,2081,6
Labor Day,First Monday in Sept,9/1/2081,9/1/2081,9,1,2081,2
Columbus Day,Second Monday in Oct,10/13/2081,10/13/2081,10,13,2081,2
Veterans Day,Annual,11/11/2081,11/11/2081,11,11,2081,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/2081,11/27/2081,11,27,2081,5
Christmas Day,Annual,12/25/2081,12/25/2081,12,25,2081,5
New Year's Day,Year Start,1/1/2082,1/1/2082,1,1,2082,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/2082,1/19/2082,1,19,2082,2
Washington's Birthday,Third Monday in Feb,2/16/2082,2/16/2082,2,16,2082,2
Memorial Day,Last Monday in May,5/25/2082,5/25/2082,5,25,2082,2
Juneteenth National Independence Day,Annual,6/19/2082,6/19/2082,6,19,2082,6
Independence Day,Annual,7/4/2082,7/3/2082,7,4,2082,7
Labor Day,First Monday in Sept,9/7/2082,9/7/2082,9,7,2082,2
Columbus Day,Second Monday in Oct,10/12/2082,10/12/2082,10,12,2082,2
Veterans Day,Annual,11/11/2082,11/11/2082,11,11,2082,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/2082,11/26/2082,11,26,2082,5
Christmas Day,Annual,12/25/2082,12/25/2082,12,25,2082,6
New Year's Day,Year Start,1/1/2083,1/1/2083,1,1,2083,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/2083,1/18/2083,1,18,2083,2
Washington's Birthday,Third Monday in Feb,2/15/2083,2/15/2083,2,15,2083,2
Memorial Day,Last Monday in May,5/24/2083,5/24/2083,5,24,2083,2
Juneteenth National Independence Day,Annual,6/19/2083,6/18/2083,6,19,2083,7
Independence Day,Annual,7/4/2083,7/5/2083,7,4,2083,1
Labor Day,First Monday in Sept,9/6/2083,9/6/2083,9,6,2083,2
Columbus Day,Second Monday in Oct,10/11/2083,10/11/2083,10,11,2083,2
Veterans Day,Annual,11/11/2083,11/11/2083,11,11,2083,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/2083,11/25/2083,11,25,2083,5
Christmas Day,Annual,12/25/2083,12/24/2083,12,25,2083,7
New Year's Day,Year Start,1/1/2084,12/31/2083,1,1,2084,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/2084,1/17/2084,1,17,2084,2
Washington's Birthday,Third Monday in Feb,2/21/2084,2/21/2084,2,21,2084,2
Memorial Day,Last Monday in May,5/22/2084,5/22/2084,5,22,2084,2
Juneteenth National Independence Day,Annual,6/19/2084,6/19/2084,6,19,2084,2
Independence Day,Annual,7/4/2084,7/4/2084,7,4,2084,3
Labor Day,First Monday in Sept,9/4/2084,9/4/2084,9,4,2084,2
Columbus Day,Second Monday in Oct,10/9/2084,10/9/2084,10,9,2084,2
Veterans Day,Annual,11/11/2084,11/10/2084,11,11,2084,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/2084,11/23/2084,11,23,2084,5
Christmas Day,Annual,12/25/2084,12/25/2084,12,25,2084,2
New Year's Day,Year Start,1/1/2085,1/1/2085,1,1,2085,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/2085,1/15/2085,1,15,2085,2
Washington's Birthday,Third Monday in Feb,2/19/2085,2/19/2085,2,19,2085,2
Memorial Day,Last Monday in May,5/28/2085,5/28/2085,5,28,2085,2
Juneteenth National Independence Day,Annual,6/19/2085,6/19/2085,6,19,2085,3
Independence Day,Annual,7/4/2085,7/4/2085,7,4,2085,4
Labor Day,First Monday in Sept,9/3/2085,9/3/2085,9,3,2085,2
Columbus Day,Second Monday in Oct,10/8/2085,10/8/2085,10,8,2085,2
Veterans Day,Annual,11/11/2085,11/12/2085,11,11,2085,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/2085,11/22/2085,11,22,2085,5
Christmas Day,Annual,12/25/2085,12/25/2085,12,25,2085,3
New Year's Day,Year Start,1/1/2086,1/1/2086,1,1,2086,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/2086,1/21/2086,1,21,2086,2
Washington's Birthday,Third Monday in Feb,2/18/2086,2/18/2086,2,18,2086,2
Memorial Day,Last Monday in May,5/27/2086,5/27/2086,5,27,2086,2
Juneteenth National Independence Day,Annual,6/19/2086,6/19/2086,6,19,2086,4
Independence Day,Annual,7/4/2086,7/4/2086,7,4,2086,5
Labor Day,First Monday in Sept,9/2/2086,9/2/2086,9,2,2086,2
Columbus Day,Second Monday in Oct,10/14/2086,10/14/2086,10,14,2086,2
Veterans Day,Annual,11/11/2086,11/11/2086,11,11,2086,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/2086,11/28/2086,11,28,2086,5
Christmas Day,Annual,12/25/2086,12/25/2086,12,25,2086,4
New Year's Day,Year Start,1/1/2087,1/1/2087,1,1,2087,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/2087,1/20/2087,1,20,2087,2
Washington's Birthday,Third Monday in Feb,2/17/2087,2/17/2087,2,17,2087,2
Memorial Day,Last Monday in May,5/26/2087,5/26/2087,5,26,2087,2
Juneteenth National Independence Day,Annual,6/19/2087,6/19/2087,6,19,2087,5
Independence Day,Annual,7/4/2087,7/4/2087,7,4,2087,6
Labor Day,First Monday in Sept,9/1/2087,9/1/2087,9,1,2087,2
Columbus Day,Second Monday in Oct,10/13/2087,10/13/2087,10,13,2087,2
Veterans Day,Annual,11/11/2087,11/11/2087,11,11,2087,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/2087,11/27/2087,11,27,2087,5
Christmas Day,Annual,12/25/2087,12/25/2087,12,25,2087,5
New Year's Day,Year Start,1/1/2088,1/1/2088,1,1,2088,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/2088,1/19/2088,1,19,2088,2
Washington's Birthday,Third Monday in Feb,2/16/2088,2/16/2088,2,16,2088,2
Memorial Day,Last Monday in May,5/24/2088,5/24/2088,5,24,2088,2
Juneteenth National Independence Day,Annual,6/19/2088,6/18/2088,6,19,2088,7
Independence Day,Annual,7/4/2088,7/5/2088,7,4,2088,1
Labor Day,First Monday in Sept,9/6/2088,9/6/2088,9,6,2088,2
Columbus Day,Second Monday in Oct,10/11/2088,10/11/2088,10,11,2088,2
Veterans Day,Annual,11/11/2088,11/11/2088,11,11,2088,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/2088,11/25/2088,11,25,2088,5
Christmas Day,Annual,12/25/2088,12/24/2088,12,25,2088,7
New Year's Day,Year Start,1/1/2089,12/31/2088,1,1,2089,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/2089,1/17/2089,1,17,2089,2
Washington's Birthday,Third Monday in Feb,2/21/2089,2/21/2089,2,21,2089,2
Memorial Day,Last Monday in May,5/23/2089,5/23/2089,5,23,2089,2
Juneteenth National Independence Day,Annual,6/19/2089,6/20/2089,6,19,2089,1
Independence Day,Annual,7/4/2089,7/4/2089,7,4,2089,2
Labor Day,First Monday in Sept,9/5/2089,9/5/2089,9,5,2089,2
Columbus Day,Second Monday in Oct,10/10/2089,10/10/2089,10,10,2089,2
Veterans Day,Annual,11/11/2089,11/11/2089,11,11,2089,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/2089,11/24/2089,11,24,2089,5
Christmas Day,Annual,12/25/2089,12/26/2089,12,25,2089,1
New Year's Day,Year Start,1/1/2090,1/2/2090,1,1,2090,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/2090,1/16/2090,1,16,2090,2
Washington's Birthday,Third Monday in Feb,2/20/2090,2/20/2090,2,20,2090,2
Memorial Day,Last Monday in May,5/22/2090,5/22/2090,5,22,2090,2
Juneteenth National Independence Day,Annual,6/19/2090,6/19/2090,6,19,2090,2
Independence Day,Annual,7/4/2090,7/4/2090,7,4,2090,3
Labor Day,First Monday in Sept,9/4/2090,9/4/2090,9,4,2090,2
Columbus Day,Second Monday in Oct,10/9/2090,10/9/2090,10,9,2090,2
Veterans Day,Annual,11/11/2090,11/10/2090,11,11,2090,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/2090,11/23/2090,11,23,2090,5
Christmas Day,Annual,12/25/2090,12/25/2090,12,25,2090,2
New Year's Day,Year Start,1/1/2091,1/1/2091,1,1,2091,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/2091,1/15/2091,1,15,2091,2
Washington's Birthday,Third Monday in Feb,2/19/2091,2/19/2091,2,19,2091,2
Memorial Day,Last Monday in May,5/28/2091,5/28/2091,5,28,2091,2
Juneteenth National Independence Day,Annual,6/19/2091,6/19/2091,6,19,2091,3
Independence Day,Annual,7/4/2091,7/4/2091,7,4,2091,4
Labor Day,First Monday in Sept,9/3/2091,9/3/2091,9,3,2091,2
Columbus Day,Second Monday in Oct,10/8/2091,10/8/2091,10,8,2091,2
Veterans Day,Annual,11/11/2091,11/12/2091,11,11,2091,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/2091,11/22/2091,11,22,2091,5
Christmas Day,Annual,12/25/2091,12/25/2091,12,25,2091,3
New Year's Day,Year Start,1/1/2092,1/1/2092,1,1,2092,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/2092,1/21/2092,1,21,2092,2
Washington's Birthday,Third Monday in Feb,2/18/2092,2/18/2092,2,18,2092,2
Memorial Day,Last Monday in May,5/26/2092,5/26/2092,5,26,2092,2
Juneteenth National Independence Day,Annual,6/19/2092,6/19/2092,6,19,2092,5
Independence Day,Annual,7/4/2092,7/4/2092,7,4,2092,6
Labor Day,First Monday in Sept,9/1/2092,9/1/2092,9,1,2092,2
Columbus Day,Second Monday in Oct,10/13/2092,10/13/2092,10,13,2092,2
Veterans Day,Annual,11/11/2092,11/11/2092,11,11,2092,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/2092,11/27/2092,11,27,2092,5
Christmas Day,Annual,12/25/2092,12/25/2092,12,25,2092,5
New Year's Day,Year Start,1/1/2093,1/1/2093,1,1,2093,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/2093,1/19/2093,1,19,2093,2
Washington's Birthday,Third Monday in Feb,2/16/2093,2/16/2093,2,16,2093,2
Memorial Day,Last Monday in May,5/25/2093,5/25/2093,5,25,2093,2
Juneteenth National Independence Day,Annual,6/19/2093,6/19/2093,6,19,2093,6
Independence Day,Annual,7/4/2093,7/3/2093,7,4,2093,7
Labor Day,First Monday in Sept,9/7/2093,9/7/2093,9,7,2093,2
Columbus Day,Second Monday in Oct,10/12/2093,10/12/2093,10,12,2093,2
Veterans Day,Annual,11/11/2093,11/11/2093,11,11,2093,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/2093,11/26/2093,11,26,2093,5
Christmas Day,Annual,12/25/2093,12/25/2093,12,25,2093,6
New Year's Day,Year Start,1/1/2094,1/1/2094,1,1,2094,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/2094,1/18/2094,1,18,2094,2
Washington's Birthday,Third Monday in Feb,2/15/2094,2/15/2094,2,15,2094,2
Memorial Day,Last Monday in May,5/24/2094,5/24/2094,5,24,2094,2
Juneteenth National Independence Day,Annual,6/19/2094,6/18/2094,6,19,2094,7
Independence Day,Annual,7/4/2094,7/5/2094,7,4,2094,1
Labor Day,First Monday in Sept,9/6/2094,9/6/2094,9,6,2094,2
Columbus Day,Second Monday in Oct,10/11/2094,10/11/2094,10,11,2094,2
Veterans Day,Annual,11/11/2094,11/11/2094,11,11,2094,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/2094,11/25/2094,11,25,2094,5
Christmas Day,Annual,12/25/2094,12/24/2094,12,25,2094,7
New Year's Day,Year Start,1/1/2095,12/31/2094,1,1,2095,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/2095,1/17/2095,1,17,2095,2
Washington's Birthday,Third Monday in Feb,2/21/2095,2/21/2095,2,21,2095,2
Memorial Day,Last Monday in May,5/23/2095,5/23/2095,5,23,2095,2
Juneteenth National Independence Day,Annual,6/19/2095,6/20/2095,6,19,2095,1
Independence Day,Annual,7/4/2095,7/4/2095,7,4,2095,2
Labor Day,First Monday in Sept,9/5/2095,9/5/2095,9,5,2095,2
Columbus Day,Second Monday in Oct,10/10/2095,10/10/2095,10,10,2095,2
Veterans Day,Annual,11/11/2095,11/11/2095,11,11,2095,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/2095,11/24/2095,11,24,2095,5
Christmas Day,Annual,12/25/2095,12/26/2095,12,25,2095,1
New Year's Day,Year Start,1/1/2096,1/2/2096,1,1,2096,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/2096,1/16/2096,1,16,2096,2
Washington's Birthday,Third Monday in Feb,2/20/2096,2/20/2096,2,20,2096,2
Memorial Day,Last Monday in May,5/28/2096,5/28/2096,5,28,2096,2
Juneteenth National Independence Day,Annual,6/19/2096,6/19/2096,6,19,2096,3
Independence Day,Annual,7/4/2096,7/4/2096,7,4,2096,4
Labor Day,First Monday in Sept,9/3/2096,9/3/2096,9,3,2096,2
Columbus Day,Second Monday in Oct,10/8/2096,10/8/2096,10,8,2096,2
Veterans Day,Annual,11/11/2096,11/12/2096,11,11,2096,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/2096,11/22/2096,11,22,2096,5
Christmas Day,Annual,12/25/2096,12/25/2096,12,25,2096,3
New Year's Day,Year Start,1/1/2097,1/1/2097,1,1,2097,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/2097,1/21/2097,1,21,2097,2
Washington's Birthday,Third Monday in Feb,2/18/2097,2/18/2097,2,18,2097,2
Memorial Day,Last Monday in May,5/27/2097,5/27/2097,5,27,2097,2
Juneteenth National Independence Day,Annual,6/19/2097,6/19/2097,6,19,2097,4
Independence Day,Annual,7/4/2097,7/4/2097,7,4,2097,5
Labor Day,First Monday in Sept,9/2/2097,9/2/2097,9,2,2097,2
Columbus Day,Second Monday in Oct,10/14/2097,10/14/2097,10,14,2097,2
Veterans Day,Annual,11/11/2097,11/11/2097,11,11,2097,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/2097,11/28/2097,11,28,2097,5
Christmas Day,Annual,12/25/2097,12/25/2097,12,25,2097,4
New Year's Day,Year Start,1/1/2098,1/1/2098,1,1,2098,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/2098,1/20/2098,1,20,2098,2
Washington's Birthday,Third Monday in Feb,2/17/2098,2/17/2098,2,17,2098,2
Memorial Day,Last Monday in May,5/26/2098,5/26/2098,5,26,2098,2
Juneteenth National Independence Day,Annual,6/19/2098,6/19/2098,6,19,2098,5
Independence Day,Annual,7/4/2098,7/4/2098,7,4,2098,6
Labor Day,First Monday in Sept,9/1/2098,9/1/2098,9,1,2098,2
Columbus Day,Second Monday in Oct,10/13/2098,10/13/2098,10,13,2098,2
Veterans Day,Annual,11/11/2098,11/11/2098,11,11,2098,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/2098,11/27/2098,11,27,2098,5
Christmas Day,Annual,12/25/2098,12/25/2098,12,25,2098,5
New Year's Day,Year Start,1/1/2099,1/1/2099,1,1,2099,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/2099,1/19/2099,1,19,2099,2
Washington's Birthday,Third Monday in Feb,2/16/2099,2/16/2099,2,16,2099,2
Memorial Day,Last Monday in May,5/25/2099,5/25/2099,5,25,2099,2
Juneteenth National Independence Day,Annual,6/19/2099,6/19/2099,6,19,2099,6
Independence Day,Annual,7/4/2099,7/3/2099,7,4,2099,7
Labor Day,First Monday in Sept,9/7/2099,9/7/2099,9,7,2099,2
Columbus Day,Second Monday in Oct,10/12/2099,10/12/2099,10,12,2099,2
Veterans Day,Annual,11/11/2099,11/11/2099,11,11,2099,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/2099,11/26/2099,11,26,2099,5
Christmas Day,Annual,12/25/2099,12/25/2099,12,25,2099,6
New Year's Day,Year Start,1/1/2100,1/1/2100,1,1,2100,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/2100,1/18/2100,1,18,2100,2
Washington's Birthday,Third Monday in Feb,2/15/2100,2/15/2100,2,15,2100,2
Memorial Day,Last Monday in May,5/24/2100,5/24/2100,5,24,2100,2
Juneteenth National Independence Day,Annual,6/19/2100,6/18/2100,6,19,2100,7
Independence Day,Annual,7/4/2100,7/5/2100,7,4,2100,1
Labor Day,First Monday in Sept,9/6/2100,9/6/2100,9,6,2100,2
Columbus Day,Second Monday in Oct,10/11/2100,10/11/2100,10,11,2100,2
Veterans Day,Annual,11/11/2100,11/11/2100,11,11,2100,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/2100,11/25/2100,11,25,2100,5
Christmas Day,Annual,12/25/2100,12/24/2100,12,25,2100,7
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
